ISS_ID,WR_DT,TOT_AMT,BYR_CD,SUP,BYR
2015112541000008f0k0fy7f,2015-11-25,660000,C30391,Comp2,Comp146
2015112541000008f0k0fy7e,2015-11-25,660000,C30391,Comp2,Comp146
2011042741000008f0k03ghb,2011-04-27,9.00E+05,C30391,Comp2,Comp146
2011052741000008f0k03pls,2011-05-27,660000,C30391,Comp2,Comp146
2011052741000008f0k03plt,2011-05-27,660000,C30391,Comp2,Comp146
2011112541000008f0k05a2o,2011-11-25,370000,C30391,Comp2,Comp146
2011072741000008f0k048c7,2011-07-27,660000,C30391,Comp2,Comp146
2011053141000008f0k03q3y,2011-05-31,9.00E+05,C30391,Comp2,Comp146
2011063041000008f0k03zz9,2011-06-30,330000,C30391,Comp2,Comp146
2011062741000008f0k03z0h,2011-06-27,9.00E+05,C30391,Comp2,Comp146
2011071541000008f0k042ii,2011-07-15,9.00E+05,C30391,Comp2,Comp146
2011081241000008f0k04b9y,2011-08-12,660000,C30391,Comp2,Comp146
2011072541000008f0k047rt,2011-07-25,9.00E+05,C30391,Comp2,Comp146
2011093041000008f0k04rqf,2011-09-30,9.00E+05,C30391,Comp2,Comp146
2011052541000008f0k03p52,2011-05-25,9.00E+05,C30391,Comp2,Comp146
2011093041000008f0k04rqg,2011-09-30,660000,C30391,Comp2,Comp146
2011103141000008f0k051a9,2011-10-31,9.00E+05,C30391,Comp2,Comp146
2011103141000008f0k051a7,2011-10-31,1540000,C30391,Comp2,Comp146
2012042041000008f0k06m4k,2012-04-20,1408000,C30391,Comp2,Comp146
2012031441000008f0k066o4,2012-03-14,9.00E+05,C30391,Comp2,Comp146
2011113041000008f0k05av6,2011-11-30,9.00E+05,C30391,Comp2,Comp146
2011113041000008f0k05av5,2011-11-30,9.00E+05,C30391,Comp2,Comp146
2012022941000008f0k063wc,2012-02-29,9.00E+05,C30391,Comp2,Comp146
2012012041000008f0k05rqr,2012-01-20,9.00E+05,C30391,Comp2,Comp146
2012012041000008f0k05rqs,2012-01-20,9.00E+05,C30391,Comp2,Comp146
2012032741000008f0k06d9b,2012-03-27,990000,C30391,Comp2,Comp146
2012032041000008f0k06az8,2012-03-20,1500000,C30391,Comp2,Comp146
2011121541000008f0k05dse,2011-12-15,9.00E+05,C30391,Comp2,Comp146
2011123141000008f0k05kn7,2011-12-31,9.00E+05,C30391,Comp2,Comp146
2012043041000008f0k06oec,2012-04-30,9.00E+05,C30391,Comp2,Comp146
2012053041000008f0k0714l,2012-05-30,2112000,C30391,Comp2,Comp146
2012073141000008f0k00im1,2012-07-31,9.00E+05,C30391,Comp2,Comp146
2012083141000008f0k00tn1,2012-08-31,9.00E+05,C30391,Comp2,Comp146
2012053141000008f0k071lq,2012-05-31,9.00E+05,C30391,Comp2,Comp146
2012073041000008f0k00i7o,2012-07-30,2816000,C30391,Comp2,Comp146
2012063041000008f0k0083v,2012-06-30,9.00E+05,C30391,Comp2,Comp146
2012053141000008f0k071lr,2012-05-31,9.00E+05,C30391,Comp2,Comp146
2012063041000008f0k0084r,2012-06-30,9.00E+05,C30391,Comp2,Comp146
2012043041000008f0k06oed,2012-04-30,9.00E+05,C30391,Comp2,Comp146
2012083041000008f0k00t6t,2012-08-30,3520000,C30391,Comp2,Comp146
2012112041000008f0k01nvo,2012-11-20,9.00E+05,C30391,Comp2,Comp146
2012113041000008f0k01qz3,2012-11-30,786500,C30391,Comp2,Comp146
2012122441000008f0k02048,2012-12-24,2.00E+06,C30391,Comp2,Comp146
2012092141000008f0k011t6,2012-09-21,9.00E+05,C30391,Comp2,Comp146
2012092141000008f0k011t4,2012-09-21,180000,C30391,Comp2,Comp146
2012092141000008f0k011t7,2012-09-21,9.00E+05,C30391,Comp2,Comp146
2012102141000008f0k01eu0,2012-10-21,9.00E+05,C30391,Comp2,Comp146
2012102441000008f0k01eu1,2012-10-24,1250000,C30391,Comp2,Comp146
2012103041000008f0k01ffj,2012-10-30,786500,C30391,Comp2,Comp146
2012112041000008f0k01nnf,2012-11-20,9.00E+05,C30391,Comp2,Comp146
2012103141000008f0k01fmg,2012-10-31,1470000,C30391,Comp2,Comp146
2013022841000008f0k02orl,2013-02-28,792000,C30391,Comp2,Comp146
2013042441000008f0k039rp,2013-04-24,9.00E+05,C30391,Comp2,Comp146
2013032241000008f0k0301y,2013-03-22,2.00E+06,C30391,Comp2,Comp146
2013032241000008f0k0301z,2013-03-22,1100000,C30391,Comp2,Comp146
2013012441000008f0k02d5k,2013-01-24,2.00E+06,C30391,Comp2,Comp146
2013012441000008f0k02d5l,2013-01-24,1100000,C30391,Comp2,Comp146
2013012141000008f0k02a7s,2013-01-21,1100000,C30391,Comp2,Comp146
2013022741000008f0k02oey,2013-02-27,1100000,C30391,Comp2,Comp146
2013022241000008f0k02mht,2013-02-22,1100000,C30391,Comp2,Comp146
2013022241000008f0k02mhu,2013-02-22,1100000,C30391,Comp2,Comp146
2013022241000008f0k02mhx,2013-02-22,9.00E+05,C30391,Comp2,Comp146
2013022241000008f0k02mhv,2013-02-22,2.00E+06,C30391,Comp2,Comp146
2013043041000008f0k03c9v,2013-04-30,792000,C30391,Comp2,Comp146
2013033041000008f0k030lt,2013-03-30,4301000,C30391,Comp2,Comp146
2013013041000008f0k02dgq,2013-01-30,4295500,C30391,Comp2,Comp146
2013013041000008f0k02dgp,2013-01-30,786500,C30391,Comp2,Comp146
2013101541000008f0k056rb,2013-10-15,660000,C30391,Comp2,Comp146
2013082841000008f0k04ocz,2013-08-28,9.00E+05,C30391,Comp2,Comp146
2013090141000008f0k04pqv,2013-09-01,1089000,C30391,Comp2,Comp146
2013082841000008f0k04ocx,2013-08-28,1100000,C30391,Comp2,Comp146
2013053041000008f0k03nu8,2013-05-30,7.00E+05,C30391,Comp2,Comp146
2013093041000008f0k053p8,2013-09-30,792000,C30391,Comp2,Comp146
2013073041000008f0k04c31,2013-07-30,792000,C30391,Comp2,Comp146
2013093041000008f0k051v3,2013-09-30,7.00E+05,C30391,Comp2,Comp146
2013083041000008f0k04p0c,2013-08-30,2640000,C30391,Comp2,Comp146
2013092541000008f0k04zc6,2013-09-25,660000,C30391,Comp2,Comp146
2013092541000008f0k04zc8,2013-09-25,660000,C30391,Comp2,Comp146
2013063041000008f0k040gs,2013-06-30,4301000,C30391,Comp2,Comp146
2013062741000008f0k03zfs,2013-06-27,4.00E+05,C30391,Comp2,Comp146
2013062741000008f0k03zft,2013-06-27,9.00E+05,C30391,Comp2,Comp146
2013101541000008f0k056ra,2013-10-15,1100000,C30391,Comp2,Comp146
2013101541000008f0k056r8,2013-10-15,9.00E+05,C30391,Comp2,Comp146
2013083041000008f0k04oue,2013-08-30,792000,C30391,Comp2,Comp146
2013082041000008f0k04o7o,2013-08-20,1232000,C30391,Comp2,Comp146
2014020141000008f0k06j4z,2014-02-01,220000,C30391,Comp2,Comp146
2014022841000008f0k06w0e,2014-02-28,1100000,C30391,Comp2,Comp146
2013122641000008f0k0641d,2013-12-26,2200000,C30391,Comp2,Comp146
2013103041000008f0k05euw,2013-10-30,594000,C30391,Comp2,Comp146
2013113041000008f0k05sxf,2013-11-30,660000,C30391,Comp2,Comp146
2013113041000008f0k05sva,2013-11-30,2660000,C30391,Comp2,Comp146
2013113041000008f0k05sxi,2013-11-30,3459500,C30391,Comp2,Comp146
2013113041000008f0k05sxh,2013-11-30,660000,C30391,Comp2,Comp146
2013113041000008f0k05sxe,2013-11-30,660000,C30391,Comp2,Comp146
2013113041000008f0k05tqh,2013-11-30,660000,C30391,Comp2,Comp146
2013103141000008f0k05f1y,2013-10-31,1500000,C30391,Comp2,Comp146
2014032041000008f0k075mj,2014-03-20,660000,C30391,Comp2,Comp146
2013103141000008f0k05fop,2013-10-31,660000,C30391,Comp2,Comp146
2013103141000008f0k05foo,2013-10-31,660000,C30391,Comp2,Comp146
2013103141000008f0k05for,2013-10-31,660000,C30391,Comp2,Comp146
2013103141000008f0k05foq,2013-10-31,660000,C30391,Comp2,Comp146
2013122741000008f0k064di,2013-12-27,660000,C30391,Comp2,Comp146
2013122741000008f0k064dc,2013-12-27,660000,C30391,Comp2,Comp146
2013122741000008f0k064ej,2013-12-27,660000,C30391,Comp2,Comp146
2013122041000008f0k0612w,2013-12-20,660000,C30391,Comp2,Comp146
2014013041000008f0k06iw1,2014-01-30,1560000,C30391,Comp2,Comp146
2014010641000008f0k06kud,2014-01-06,1210000,C30391,Comp2,Comp146
2014012741000008f0k06hh8,2014-01-27,3300000,C30391,Comp2,Comp146
2014012741000008f0k06hhk,2014-01-27,660000,C30391,Comp2,Comp146
2014022841000008f0k06vvq,2014-02-28,2882000,C30391,Comp2,Comp146
2014022841000008f0k06vvt,2014-02-28,660000,C30391,Comp2,Comp146
2014032041000008f0k074ob,2014-03-20,594000,C30391,Comp2,Comp146
2014022041000008f0k06vvo,2014-02-20,594000,C30391,Comp2,Comp146
2014013041000008f0k06jr3,2014-01-30,2866000,C30391,Comp2,Comp146
2014022841000008f0k06vvp,2014-02-28,660000,C30391,Comp2,Comp146
2014013041000008f0k06jr2,2014-01-30,-3086000,C30391,Comp2,Comp146
2014012941000008f0k06hxs,2014-01-29,3300000,C30391,Comp2,Comp146
2013123041000008f0k064rq,2013-12-30,-88000,C30391,Comp2,Comp146
2014073041000008f0k08tx7,2014-07-30,2497000,C30391,Comp2,Comp146
2014082541000008f0k097hv,2014-08-25,1100000,C30391,Comp2,Comp146
2014082541000008f0k096kj,2014-08-25,660000,C30391,Comp2,Comp146
2014050941000008f0k07wv2,2014-05-09,240000,C30391,Comp2,Comp146
2014082541000008f0k097hw,2014-08-25,550000,C30391,Comp2,Comp146
2014070241000008f0k08g83,2014-07-02,-1.00E+06,C30391,Comp2,Comp146
2014062541000008f0k08dym,2014-06-25,660000,C30391,Comp2,Comp146
2014062541000008f0k08dyj,2014-06-25,1100000,C30391,Comp2,Comp146
2014062541000008f0k08dyi,2014-06-25,660000,C30391,Comp2,Comp146
2014072041000008f0k08ovf,2014-07-20,594000,C30391,Comp2,Comp146
2014043041000008f0k07n2a,2014-04-30,660000,C30391,Comp2,Comp146
2014062541000008f0k08dz0,2014-06-25,660000,C30391,Comp2,Comp146
2014062541000008f0k08dyy,2014-06-25,660000,C30391,Comp2,Comp146
2014062541000008f0k08dyz,2014-06-25,1100000,C30391,Comp2,Comp146
2014072941000008f0k08t0z,2014-07-29,270000,C30391,Comp2,Comp146
2014042641000008f0k07p1y,2014-04-26,-4420000,C30391,Comp2,Comp146
2014043041000008f0k07p24,2014-04-30,9.00E+05,C30391,Comp2,Comp146
2014043041000008f0k07p26,2014-04-30,1100000,C30391,Comp2,Comp146
2014043041000008f0k07p28,2014-04-30,660000,C30391,Comp2,Comp146
2014051341000008f0k07qme,2014-05-13,660000,C30391,Comp2,Comp146
2014082041000008f0k08zn3,2014-08-20,594000,C30391,Comp2,Comp146
